Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Star Wars: Episode III - Revenge of the Sith,https://www.imdb.com/title/tt0121766/?ref_=sr_t_1,2005,2h 20m,PG-13,7.6,867K
"2. The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/?ref_=sr_t_2,2005,2h 23m,PG,6.9,438K
3. Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/?ref_=sr_t_3,2005,2h 37m,PG-13,7.7,705K
4. War of the Worlds,https://www.imdb.com/title/tt0407304/?ref_=sr_t_4,2005,1h 57m,PG-13,6.5,485K
5. King Kong,https://www.imdb.com/title/tt0360717/?ref_=sr_t_5,2005,3h 7m,PG-13,7.2,455K
6. Wedding Crashers,https://www.imdb.com/title/tt0396269/?ref_=sr_t_6,2005,1h 59m,R,7.0,383K
7. Batman Begins,https://www.imdb.com/title/tt0372784/?ref_=sr_t_7,2005,2h 20m,PG-13,8.2,1.6M
8. Charlie and the Chocolate Factory,https://www.imdb.com/title/tt0367594/?ref_=sr_t_8,2005,1h 55m,PG,6.7,544K
9. Madagascar,https://www.imdb.com/title/tt0351283/?ref_=sr_t_9,2005,1h 26m,PG,6.9,451K
10. Mr. & Mrs. Smith,https://www.imdb.com/title/tt0356910/?ref_=sr_t_10,2005,2h,PG-13,6.5,558K
11. Hitch,https://www.imdb.com/title/tt0386588/?ref_=sr_t_11,2005,1h 58m,PG-13,6.6,340K
12. The Longest Yard,https://www.imdb.com/title/tt0398165/?ref_=sr_t_12,2005,1h 53m,PG-13,6.4,201K
13. Fantastic Four,https://www.imdb.com/title/tt0120667/?ref_=sr_t_13,2005,1h 46m,PG-13,5.7,351K
14. Chicken Little,https://www.imdb.com/title/tt0371606/?ref_=sr_t_14,2005,1h 21m,G,5.7,104K
15. Robots,https://www.imdb.com/title/tt0358082/?ref_=sr_t_15,2005,1h 31m,PG,6.4,167K
16. Walk the Line,https://www.imdb.com/title/tt0358273/?ref_=sr_t_16,2005,2h 16m,PG-13,7.8,271K
17. The Pacifier,https://www.imdb.com/title/tt0395699/?ref_=sr_t_17,2005,1h 35m,PG,5.6,103K
18. Fun with Dick and Jane,https://www.imdb.com/title/tt0369441/?ref_=sr_t_18,2005,1h 30m,PG-13,6.2,157K
19. The 40-Year-Old Virgin,https://www.imdb.com/title/tt0405422/?ref_=sr_t_19,2005,1h 56m,R,7.1,479K
20. Flightplan,https://www.imdb.com/title/tt0408790/?ref_=sr_t_20,2005,1h 38m,PG-13,6.3,175K
21. Saw II,https://www.imdb.com/title/tt0432348/?ref_=sr_t_21,2005,1h 33m,R,6.6,284K
22. Brokeback Mountain,https://www.imdb.com/title/tt0388795/?ref_=sr_t_22,2005,2h 14m,R,7.7,395K
23. Monster-in-Law,https://www.imdb.com/title/tt0369735/?ref_=sr_t_23,2005,1h 41m,PG-13,5.6,67K
24. Are We There Yet?,https://www.imdb.com/title/tt0368578/?ref_=sr_t_24,2005,1h 35m,PG,4.8,35K
25. Cheaper by the Dozen 2,https://www.imdb.com/title/tt0452598/?ref_=sr_t_25,2005,1h 34m,PG,5.5,64K
26. The Dukes of Hazzard,https://www.imdb.com/title/tt0377818/?ref_=sr_t_26,2005,1h 44m,PG-13,5.1,83K
27. March of the Penguins,https://www.imdb.com/title/tt0428803/?ref_=sr_t_27,2005,1h 20m,G,7.5,61K
28. The Ring Two,https://www.imdb.com/title/tt0377109/?ref_=sr_t_28,2005,1h 50m,PG-13,5.4,103K
29. Constantine,https://www.imdb.com/title/tt0360486/?ref_=sr_t_29,2005,2h 1m,R,7.0,386K
30. The Exorcism of Emily Rose,https://www.imdb.com/title/tt0404032/?ref_=sr_t_30,2005,1h 59m,PG-13,6.7,143K
31. Four Brothers,https://www.imdb.com/title/tt0430105/?ref_=sr_t_31,2005,1h 49m,R,6.8,163K
32. Sin City,https://www.imdb.com/title/tt0401792/?ref_=sr_t_32,2005,2h 4m,R,8.0,802K
33. The Interpreter,https://www.imdb.com/title/tt0373926/?ref_=sr_t_33,2005,2h 8m,PG-13,6.4,112K
34. V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=sr_t_34,2005,2h 12m,R,8.1,1.2M
35. Guess Who,https://www.imdb.com/title/tt0372237/?ref_=sr_t_35,2005,1h 45m,PG-13,5.9,47K
36. Sahara,https://www.imdb.com/title/tt0318649/?ref_=sr_t_36,2005,2h 4m,PG-13,6.1,106K
37. Coach Carter,https://www.imdb.com/title/tt0393162/?ref_=sr_t_37,2005,2h 16m,PG-13,7.3,177K
38. Herbie Fully Loaded,https://www.imdb.com/title/tt0400497/?ref_=sr_t_38,2005,1h 41m,G,4.9,52K
39. The Amityville Horror,https://www.imdb.com/title/tt0384806/?ref_=sr_t_39,2005,1h 30m,R,5.9,119K
40. Sky High,https://www.imdb.com/title/tt0405325/?ref_=sr_t_40,2005,1h 40m,PG,6.3,97K
41. Bewitched,https://www.imdb.com/title/tt0374536/?ref_=sr_t_41,2005,1h 42m,PG-13,4.8,76K
42. Jarhead,https://www.imdb.com/title/tt0418763/?ref_=sr_t_42,2005,2h 5m,R,7.0,213K
43. Cinderella Man,https://www.imdb.com/title/tt0352248/?ref_=sr_t_43,2005,2h 24m,PG-13,8.0,202K
44. The Family Stone,https://www.imdb.com/title/tt0356680/?ref_=sr_t_44,2005,1h 43m,PG-13,6.3,79K
45. Red Eye,https://www.imdb.com/title/tt0421239/?ref_=sr_t_45,2005,1h 25m,PG-13,6.5,152K
46. Memoirs of a Geisha,https://www.imdb.com/title/tt0397535/?ref_=sr_t_46,2005,2h 25m,PG-13,7.3,165K
47. White Noise,https://www.imdb.com/title/tt0375210/?ref_=sr_t_47,2005,1h 41m,PG-13,5.5,51K
48. Wallace & Gromit: The Curse of the Were-Rabbit,https://www.imdb.com/title/tt0312004/?ref_=sr_t_48,2005,1h 25m,G,7.5,150K
49. Be Cool,https://www.imdb.com/title/tt0377471/?ref_=sr_t_49,2005,1h 58m,PG-13,5.6,73K
"50. Yours, Mine & Ours",https://www.imdb.com/title/tt0443295/?ref_=sr_t_50,2005,1h 28m,PG,5.5,31K
51. Corpse Bride,https://www.imdb.com/title/tt0121164/?ref_=sr_t_51,2005,1h 17m,PG,7.4,310K
52. Kicking & Screaming,https://www.imdb.com/title/tt0384642/?ref_=sr_t_52,2005,1h 35m,PG,5.6,42K
53. Hoodwinked!,https://www.imdb.com/title/tt0443536/?ref_=sr_t_53,2005,1h 20m,PG,6.5,68K
54. Hide and Seek,https://www.imdb.com/title/tt0382077/?ref_=sr_t_54,2005,1h 41m,R,5.9,90K
55. The Hitchhiker's Guide to the Galaxy,https://www.imdb.com/title/tt0371724/?ref_=sr_t_55,2005,1h 49m,PG,6.7,211K
56. Syriana,https://www.imdb.com/title/tt0365737/?ref_=sr_t_56,2005,2h 8m,R,6.9,136K
57. Diary of a Mad Black Woman,https://www.imdb.com/title/tt0422093/?ref_=sr_t_57,2005,1h 56m,PG-13,5.7,16K
58. Racing Stripes,https://www.imdb.com/title/tt0376105/?ref_=sr_t_58,2005,1h 42m,PG,5.2,19K
59. Miss Congeniality 2: Armed & Fabulous,https://www.imdb.com/title/tt0385307/?ref_=sr_t_59,2005,1h 55m,PG-13,5.2,82K
60. Just Like Heaven,https://www.imdb.com/title/tt0425123/?ref_=sr_t_60,2005,1h 35m,PG-13,6.7,119K
61. The Skeleton Key,https://www.imdb.com/title/tt0397101/?ref_=sr_t_61,2005,1h 44m,PG-13,6.5,126K
62. Munich,https://www.imdb.com/title/tt0408306/?ref_=sr_t_62,2005,2h 44m,R,7.5,245K
63. Kingdom of Heaven,https://www.imdb.com/title/tt0320661/?ref_=sr_t_63,2005,2h 24m,R,7.3,327K
64. Hostel,https://www.imdb.com/title/tt0450278/?ref_=sr_t_64,2005,1h 34m,R,5.9,196K
65. Nanny McPhee,https://www.imdb.com/title/tt0396752/?ref_=sr_t_65,2005,1h 37m,PG,6.6,88K
66. Boogeyman,https://www.imdb.com/title/tt0357507/?ref_=sr_t_66,2005,1h 29m,PG-13,4.2,33K
67. The Legend of Zorro,https://www.imdb.com/title/tt0386140/?ref_=sr_t_67,2005,2h 9m,PG,6.0,110K
68. Must Love Dogs,https://www.imdb.com/title/tt0417001/?ref_=sr_t_68,2005,1h 38m,PG-13,5.9,33K
69. Transporter 2,https://www.imdb.com/title/tt0388482/?ref_=sr_t_69,2005,1h 27m,R,6.3,219K
70. Rumor Has It...,https://www.imdb.com/title/tt0398375/?ref_=sr_t_70,2005,1h 37m,PG-13,5.5,63K
71. Fever Pitch,https://www.imdb.com/title/tt0332047/?ref_=sr_t_71,2005,1h 44m,PG-13,6.2,49K
72. The Adventures of Sharkboy and Lavagirl 3-D,https://www.imdb.com/title/tt0424774/?ref_=sr_t_72,2005,1h 33m,PG,3.8,44K
73. The Sisterhood of the Traveling Pants,https://www.imdb.com/title/tt0403508/?ref_=sr_t_73,2005,1h 59m,PG,6.5,66K
74. Pride & Prejudice,https://www.imdb.com/title/tt0414387/?ref_=sr_t_74,2005,2h 9m,PG,7.8,343K
75. The Brothers Grimm,https://www.imdb.com/title/tt0355295/?ref_=sr_t_75,2005,1h 58m,PG-13,5.9,128K
76. Beauty Shop,https://www.imdb.com/title/tt0388500/?ref_=sr_t_76,2005,1h 45m,PG-13,5.6,19K
77. Derailed,https://www.imdb.com/title/tt0398017/?ref_=sr_t_77,2005,1h 48m,R,6.6,77K
78. The Island,https://www.imdb.com/title/tt0399201/?ref_=sr_t_78,2005,2h 16m,PG-13,6.8,332K
79. The Ringer,https://www.imdb.com/title/tt0267891/?ref_=sr_t_79,2005,1h 34m,PG-13,5.8,39K
80. Hostage,https://www.imdb.com/title/tt0340163/?ref_=sr_t_80,2005,1h 53m,R,6.5,114K
81. The Constant Gardener,https://www.imdb.com/title/tt0387131/?ref_=sr_t_81,2005,2h 9m,R,7.3,151K
82. In Her Shoes,https://www.imdb.com/title/tt0388125/?ref_=sr_t_82,2005,2h 10m,PG-13,6.5,66K
83. Bad News Bears,https://www.imdb.com/title/tt0408524/?ref_=sr_t_83,2005,1h 53m,PG-13,5.8,23K
84. Dreamer,https://www.imdb.com/title/tt0418647/?ref_=sr_t_84,2005,1h 46m,PG,6.8,14K
85. Because of Winn-Dixie,https://www.imdb.com/title/tt0317132/?ref_=sr_t_85,2005,1h 46m,PG,6.4,13K
