genres,budget
,0.0
Action,642440279874.0
Action Epic,39783526148.0
Adult Animation,855390000.0
Adventure,189392460260.0
Adventure Epic,18418300000.0
Alien Invasion,34117500000.0
Animal Adventure,7815800000.0
Animation,25994186732.0
Anime,5828600000.0
Artificial Intelligence,1847100000.0
B-Action,23000000.0
B-Horror,20865000.0
Baseball,160000000.0
Basketball,399600000.0
Biography,311519179333.0
Body Horror,482654376.0
Body Swap Comedy,392000000.0
Boxing,588000000.0
Buddy Comedy,3522100000.0
Buddy Cop,1397000000.0
Bumbling Detective,542000000.0
Caper,1228600000.0
Car Action,3584500000.0
Comedy,69066419509.0
Coming-of-Age,7917220757.0
Computer Animation,18045887500.0
Concert,23500000.0
Conspiracy Thriller,1430400000.0
Contemporary Western,469400000.0
Cop Drama,2479770000.0
Costume Drama,975100000.0
Cozy Mystery,310000000.0
Crime,353982355865.0
Crime Documentary,4000000.0
Cyber Thriller,1051000000.0
Cyberpunk,2171500000.0
Dark Comedy,11586456100.0
Dark Fantasy,9321200000.0
Dark Romance,10569000000.0
Desert Adventure,8006000000.0
Dinosaur Adventure,2115000000.0
Disaster,3189250000.0
Docudrama,4730476043.0
Documentary,557953758.0
Drama,323591188492.0
Drug Crime,972057000.0
Dystopian Sci-Fi,10743900000.0
Epic,19396026148.0
Erotic Thriller,10443961499.0
Extreme Sport,206000000.0
Fairy Tale,9964750000.0
Faith & Spirituality Documentary,9850000.0
Family,33299315263.0
Fantasy,122621547006.0
Fantasy Epic,6071400300.0
Farce,921850000.0
Feel-Good Romance,2311800000.0
Financial Drama,267500000.0
Folk Horror,139886000.0
Food Documentary,0.0
Football,422100000.0
Found Footage Horror,176495000.0
Gangster,3655576591.0
Globetrotting Adventure,4878000000.0
Gun Fu,1257000000.0
Hand-Drawn Animation,5841300000.0
Hard-boiled Detective,50475000.0
Heist,688000000.0
High-Concept Comedy,1948000000.0
Historical Epic,1792132000.0
History,327735411362.0
History Documentary,3500000.0
Holiday,1863961814.0
Holiday Animation,295000000.0
Holiday Comedy,1341310000.0
Holiday Family,825000000.0
Holiday Romance,364151814.0
Horror,45358949714.0
Isekai,10000000.0
Iyashikei,5057000000.0
Jukebox Musical,1073000000.0
Jungle Adventure,2074400000.0
Kaiju,15413000000.0
Korean Drama,23400000.0
Kung Fu,817618387.0
Legal Drama,931700000.0
Legal Thriller,194605039.0
Martial Arts,34252243387.0
Mecha,0.0
Medical Drama,105650000.0
Military Documentary,4500000.0
Mockumentary,154600000.0
Monster Horror,25332354376.0
Motorsport,1140600000.0
Mountain Adventure,610605000.0
Music,4521409746.0
Music Documentary,72000000.0
Musical,9304858100.0
Mystery,18541789407.0
Nature Documentary,175605000.0
News,2877000.0
One-Person Army Action,21796696148.0
Parody,1751011500.0
Period Drama,21377455996.0
Police Procedural,509400000.0
Political Documentary,9000000.0
Political Drama,1140661962.0
Political Thriller,1622000000.0
Pop Musical,1928500000.0
Prison Drama,444630000.0
Psychological Drama,14181824413.0
Psychological Horror,916400000.0
Psychological Thriller,13858792499.0
Quest,7934200000.0
Quirky Comedy,1061444175.0
Raunchy Comedy,1354600000.0
Reality TV,0.0
Road Trip,2038015000.0
Rock Musical,153500000.0
Romance,57104808431.0
Romantic Comedy,3868070000.0
Romantic Epic,799600000.0
Samurai,486000000.0
Satire,3141934437.0
Sci-Fi,139532982816.0
Sci-Fi Epic,11830480292.0
Science & Technology Documentary,7630000.0
Screwball Comedy,45070000.0
Sea Adventure,3231500000.0
Seinen,0.0
Serial Killer,13016300000.0
Showbiz Drama,979100000.0
Shōjo,381100000.0
Shōnen,15000000.0
Sitcom,85000000.0
Sketch Comedy,5250000.0
Slapstick,5009650000.0
Slasher Horror,12883140507.0
Slice of Life,22000000.0
Soccer,195002500.0
Space Sci-Fi,35364700000.0
Splatter Horror,12373375000.0
Sport,7224192959.0
Sports Documentary,3250211.0
Spy,303585000000.0
Stand-Up,13960000.0
Steampunk,632680292.0
Steamy Romance,10447164182.0
Stoner Comedy,235900000.0
Stop Motion Animation,767940000.0
Superhero,25072827921.0
Supernatural Fantasy,6729700300.0
Supernatural Horror,3056520000.0
Survival,2465400000.0
Suspense Mystery,1503015000.0
Swashbuckler,2192900000.0
Sword & Sandal,1817000000.0
Sword & Sorcery,33168900000.0
Talk Show,10000.0
Teen Adventure,3574200000.0
Teen Comedy,1780500000.0
Teen Drama,5933354000.0
Teen Fantasy,7800000000.0
Teen Horror,767185000.0
Teen Romance,1244838000.0
Thriller,491105949165.0
Time Travel,3289900000.0
Tragedy,33155168225.0
Tragic Romance,1393570000.0
Travel Documentary,1105000.0
True Crime,3044596870.0
Urban Adventure,6418387500.0
Vampire Horror,786450000.0
War,59866729503.0
War Epic,2490932000.0
Water Sport,165000000.0
Werewolf Horror,247000000.0
Western,1864530000.0
Western Epic,595000000.0
Whodunnit,1280500000.0
Witch Horror,162200000.0
Workplace Drama,486199175.0
Wuxia,1246632000.0
Zombie Horror,11100700000.0
